Sr. No.,Journal title,ISSN,eISSN,Publisher name
66,JOURNAL OF BIG DATA,,2196-1115,SPRINGERNATURE
67,COMPUTING,0010-485X,1436-5057,SPRINGER WIEN
68,IT PROFESSIONAL,1520-9202,1941-045X,IEEE COMPUTER SOC
69,INTERNATIONAL JOURNAL OF NETWORK MANAGEMENT,1055-7148,1099-1190,WILEY
70,MATHEMATICAL PROGRAMMING,0025-5610,1436-4646,SPRINGER HEIDELBERG
71,FUZZY SETS AND SYSTEMS,0165-0114,1872-6801,ELSEVIER
72,REQUIREMENTS ENGINEERING,0947-3602,1432-010X,SPRINGER
73,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,1049-3301,1558-1195,ASSOC COMPUTING MACHINERY
74,NETWORKS,0028-3045,1097-0037,WILEY
75,IEEE ACCESS,2169-3536,2169-3536,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
76,JOURNAL OF INTELLIGENT MANUFACTURING,0956-5515,1572-8145,SPRINGER
77,MEMETIC COMPUTING,1865-9284,1865-9292,SPRINGER HEIDELBERG
78,INFORMATION PROCESSING & MANAGEMENT,0306-4573,1873-5371,ELSEVIER SCI LTD
79,UNIVERSAL ACCESS IN THE INFORMATION SOCIETY,1615-5289,1615-5297,SPRINGER HEIDELBERG
80,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1557-7392,ASSOC COMPUTING MACHINERY
81,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,1556-4673,1556-4711,ASSOC COMPUTING MACHINERY
82,REAL-TIME SYSTEMS,0922-6443,1573-1383,SPRINGER
83,EVOLVING SYSTEMS,1868-6478,1868-6486,SPRINGER HEIDELBERG
84,IET COMPUTERS AND DIGITAL TECHNIQUES,1751-8601,1751-861X,WILEY-HINDAWI
